{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
{'ts': -1}
0.4968 0.4111
0.4965 0.4111
0.4967 0.4099
0.4962 0.41
0.4954 0.4103
0.496 0.4089
0.4964 0.408
0.4967 0.4093
0.4971 0.4193
0.4972 0.4256
0.4961 0.4425
0.494 0.4683
0.4937 0.4816
0.4936 0.4486
0.4939 0.4494
0.4946 0.4501
0.4953 0.4517
0.4935 0.4225
0.4936 0.4188
0.4935 0.4162
0.4935 0.414
0.4937 0.4134
0.4943 0.4118
0.4951 0.4104
0.4956 0.41
0.496 0.4091
0.4957 0.4094
0.4957 0.4093
0.496 0.4084
0.4964 0.4074
0.4968 0.4061
0.4973 0.4063
0.4973 0.4065
0.4966 0.4066
0.4497 0.3933
0.4497 0.3933
0.4497 0.3933
0.4497 0.3933
0.4497 0.3933
0.3079 0.2801
0.3079 0.2801
0.3079 0.2801
0.3079 0.2801
0.3298 0.2506
0.4081 0.3252
0.4815 0.3488
0.5356 0.3515
0.5356 0.3515
0.5365 0.3549
0.5426 0.3494
0.5299 0.3671
0.5299 0.3671
0.4488 0.5267
0.4671 0.3678
0.4575 0.3199
0.4516 0.3111
0.4511 0.3154
0.4562 0.3268
0.4557 0.319
0.4549 0.3174
0.4559 0.3206
0.456 0.3223
0.4555 0.3196
0.4552 0.3225
0.4587 0.3344
0.4591 0.3346
0.4597 0.3352
0.4589 0.3341
0.4582 0.3363
0.4576 0.3369
0.4529 0.3365
0.4529 0.3365
0.4529 0.3365
0.4529 0.3365
0.4529 0.3365
0.4529 0.3365
0.4529 0.3365
0.4529 0.3365
0.4529 0.3365
0.1422 0.2282
0.1422 0.2282
0.1422 0.2282
0.1254 0.2353
0.1254 0.2353
0.1254 0.2353
0.1254 0.2353
0.1254 0.2353
0.1254 0.2353
0.1254 0.2353
0.0149 0.218
0.0419 0.2367
0.0709 0.2819
0.0761 0.2856
0.0758 0.2881
0.0974 0.3175
0.0983 0.3173
0.0956 0.3214
0.101 0.3359
0.0993 0.3423
0.0966 0.3471
0.091 0.3615
0.0853 0.3687
0.0859 0.3659
0.0888 0.3597
0.0931 0.3549
0.0931 0.3549
0.1023 0.3429
0.1055 0.3374
0.1081 0.3341
0.1104 0.3234
0.231 0.2573
0.2982 0.2787
0.4535 0.4037
0.4899 0.4118
0.4905 0.4109
0.4905 0.4104
0.4909 0.4151
0.4918 0.4102
0.4928 0.3976
0.4918 0.3963
0.4901 0.3864
0.4956 0.3684
0.4958 0.3655
0.4963 0.3731
0.498 0.3656
0.4955 0.462
0.5005 0.5016
0.5008 0.5163
0.502 0.5111
0.5008 0.5056
0.4972 0.4929
0.5184 0.4605
0.4643 0.5191
0.5429 0.4597
0.5469 0.4582
0.4694 0.5185
0.5465 0.4556
0.5457 0.454
0.5454 0.4534
0.5443 0.452
0.5436 0.4526
0.4721 0.5154
0.5421 0.454
0.4744 0.5173
0.4743 0.5175
0.5393 0.4542
0.475 0.5144
0.4746 0.514
0.4739 0.5136
0.4732 0.5125
0.5364 0.4526
0.5352 0.4507
0.5361 0.4779
0.5363 0.4761
0.5373 0.4699
0.5376 0.4686
0.4574 0.5272
0.4572 0.5275
0.4572 0.5275
0.4578 0.5292
0.4584 0.5293
0.4588 0.5294
0.5408 0.4698
0.5418 0.4669
0.4651 0.5234
0.4651 0.5234
0.5419 0.4639
0.5421 0.4631
0.5422 0.4626
0.5423 0.4617
0.5423 0.4605
0.4702 0.514
0.5417 0.4569
0.5414 0.4553
0.5414 0.4553
0.4736 0.5134
0.4736 0.5147
0.4739 0.5153
0.4746 0.517
0.4749 0.5175
0.4755 0.5175
0.476 0.5175
0.4761 0.5171
0.4781 0.5105
0.4781 0.5105
0.4456 0.5492
0.4798 0.5432
0.4809 0.5476
0.4785 0.5663
0.477 0.5753
0.476 0.5737
0.4559 0.583
0.4544 0.5866
0.4536 0.5881
0.5347 0.4477
0.5364 0.4361
0.5377 0.4328
0.5406 0.4211
0.5475 0.4215
0.5479 0.42
0.5507 0.4314
0.5526 0.4471
0.5367 0.4064
0.5321 0.3952
0.536 0.393
0.537 0.4082
0.54 0.4327
0.5422 0.4518
0.5442 0.471
0.545 0.4779
0.5452 0.4802
0.5349 0.4123
0.4978 0.5319
0.6113 0.4096
0.54 0.4462
0.4565 0.4841
0.5251 0.3872
0.5236 0.3848
0.523 0.3848
0.5268 0.372
0.5277 0.42
0.5173 0.3904
0.4943 0.4454
0.4891 0.3987
0.4896 0.3928
0.4896 0.3928
0.4995 0.4016
0.5735 0.3953
0.5735 0.3953
0.5867 0.3863
0.584 0.3896
0.5881 0.3891
0.58 0.415
0.5586 0.4764
0.5996 0.5152
0.5669 0.4656
0.558 0.4424
0.5576 0.4302
0.5654 0.4152
0.5666 0.4074
0.567 0.4086
0.5718 0.4193
0.5765 0.4127
0.5699 0.4059
0.5698 0.4074
0.5401 0.3815
0.5587 0.3832
0.4504 0.3916
0.4498 0.399
0.4513 0.4092
0.4498 0.401
0.4484 0.4031
0.4465 0.3981
0.4475 0.402
0.4405 0.4049
0.4347 0.3362
0.3005 0.3611
0.3015 0.3414
0.3037 0.3418
0.3077 0.3385
0.3099 0.3331
0.2674 0.2883
0.2197 0.2338
0.2097 0.2315
0.2097 0.2315
0.2179 0.3122
0.1971 0.1464
0.1961 0.1441
0.2076 0.2277
0.2219 0.3015
0.223 0.2979
0.3339 0.3006
0.4172 0.3638
0.4242 0.4006
0.4245 0.38
0.4242 0.3659
0.4242 0.3659
0.4211 0.3458
0.3642 0.3299
0.3612 0.3278
0.4158 0.3086
0.4154 0.3112
0.3596 0.3302
0.4132 0.3128
0.3622 0.3311
0.3662 0.3338
0.3693 0.3345
0.3693 0.3345
0.3871 0.3126
0.3785 0.3264
0.3618 0.3106
0.3598 0.3082
0.3579 0.3091
0.3576 0.3088
0.3476 0.3149
0.3529 0.3117
0.3531 0.3122
0.3531 0.3121
0.3531 0.3121
0.354 0.3143
0.3582 0.3147
0.3542 0.3206
0.3563 0.3204
0.3582 0.3225
0.3578 0.3225
0.3573 0.3222
0.3497 0.3259
0.3457 0.3271
0.3469 0.3235
0.3469 0.3211
0.352 0.3157
0.3527 0.3124
0.3559 0.307
0.3441 0.3147
0.3425 0.3163
0.3396 0.32
0.3352 0.3232
0.333 0.3254
0.3453 0.2979
0.3382 0.3003
0.3328 0.3117
0.3386 0.3082
0.3397 0.3095
0.3397 0.3095
0.3406 0.3079
0.3426 0.3067
0.3354 0.3247
0.3378 0.3249
0.3386 0.3275
0.3464 0.3014
0.3442 0.3045
0.3392 0.3105
0.3307 0.3112
0.3313 0.3099
0.3341 0.3054
0.3305 0.3103
0.3356 0.3017
0.3342 0.3031
0.319 0.2949
0.325 0.3077
0.3098 0.2619
0.3452 0.3212
0.3462 0.3236
0.3481 0.3332
0.3467 0.3264
0.3485 0.335
0.3474 0.3275
0.3471 0.326
0.33 0.2738
0.3269 0.3284
0.308 0.275
0.3132 0.3042
0.3249 0.3152
0.3327 0.3064
0.1642 0.3295
0.1642 0.3295
0.1642 0.3295
0.1642 0.3295
0.1642 0.3295
0.1642 0.3295
0.1642 0.3295
0.1581 0.32
0.1581 0.32
0.1581 0.32
0.1581 0.32
0.1611 0.3117
0.1512 0.3094
0.1426 0.3059
0.0277 0.2764
0.0277 0.2764
0.0277 0.2764
0.0277 0.2764
0.0277 0.2764
0.1925 0.2769
0.0112 0.2724
0.068 0.3312
0.0821 0.3761
0.0988 0.3824
0.0987 0.3919
0.0976 0.3953
0.069 0.386
0.0653 0.3848
0.0554 0.3845
0.0554 0.3845
0.0554 0.3845
0.0606 0.3868
0.0112 0.3798
0.0112 0.3798
0.0443 0.4353
0.0524 0.4829
0.0524 0.4829
0.0737 0.4983
0.0868 0.4859
0.0894 0.4812
0.0792 0.4582
0.0628 0.463
0.0628 0.463
0.0628 0.463
0.0628 0.463
0.0628 0.463
0.0559 0.4398
0.0644 0.4665
0.0681 0.4697
0.0681 0.4697
0.0681 0.4697
0.0681 0.4697
0.0681 0.4697
0.0681 0.4697
0.064 0.4251
0.2521 0.3416
0.3023 0.1786
0.3023 0.1786
0.5525 0.5338
0.6077 0.4764
0.6059 0.4673
0.7084 0.3418
0.724 0.2953
0.7018 0.2936
0.7062 0.2956
0.5816 0.3839
0.4923 0.3819
0.4881 0.3479
0.4881 0.3479
0.4989 0.3506
0.3979 0.2715
0.3881 0.2672
0.3881 0.2672
0.4853 0.264
0.6598 0.2267
0.6883 0.2194
0.6684 0.2231
0.6451 0.2591
0.6382 0.2812
0.6384 0.2801
0.6529 0.2635
0.6612 0.2528
0.7441 0.2698
0.9115 0.3654
0.9115 0.3654
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9953 0.3627
0.9667 0.362
0.958 0.3708
0.9612 0.3699
0.974 0.343
0.9791 0.3316
0.9798 0.3301
0.9807 0.3282
0.9819 0.325
0.9826 0.324
0.984 0.3221
0.9892 0.3108
0.9921 0.313
0.9932 0.3118
0.9954 0.309
0.978 0.313
0.978 0.313
0.7401 0.2491
0.5567 0.3054
0.5354 0.3174
0.5279 0.322
0.5264 0.3286
0.5289 0.3346
0.5305 0.3336
0.5093 0.3539
0.4523 0.3439
0.4466 0.3549
0.4486 0.3306
0.4507 0.3302
0.4753 0.3258
0.5271 0.3331
0.544 0.3196
0.5503 0.3124
0.5343 0.3424
0.5407 0.3332
0.5473 0.3195
0.5473 0.3197
0.5452 0.3172
0.5493 0.3069
0.5368 0.3094
0.5284 0.3144
0.5266 0.3173
0.5263 0.3201
0.5263 0.3222
0.5267 0.3239
0.5269 0.3241
0.5272 0.3223
0.5276 0.3213
0.5277 0.3178
0.5282 0.3159
0.5282 0.3161
0.5286 0.3163
0.5299 0.3167
0.5304 0.3166
0.5309 0.317
0.5356 0.3112
0.5379 0.3104
0.5346 0.3141
0.5372 0.3149
0.534 0.3175
0.5335 0.3203
0.5406 0.3122
0.5437 0.3088
0.544 0.308
0.5485 0.3059
0.5498 0.3041
0.5515 0.3025
0.5529 0.3033
0.5522 0.3043
0.5525 0.3055
0.5523 0.3061
0.5532 0.3041
0.5544 0.3051
0.5542 0.3041
0.5476 0.3173
0.5495 0.3147
0.5399 0.3271
0.5404 0.3271
0.532 0.3421
0.529 0.394
0.5256 0.3652
0.5226 0.3595
0.6562 0.254
0.7952 0.2005
0.8308 0.1459
0.8389 0.1342
0.8389 0.1342
0.8336 0.1533
